ID,Статус,Сообщение
60588863,не читал,КЛИЕНТ ОТМЕНИЛ ЗАКАЗ
60587995,ответил,ВЫ НАПИСАЛИ КЛИЕНТУ
60585641,посмотрел,КЛИЕНТ ОТМЕНИЛ ЗАКАЗ
60581433,не читал,КЛИЕНТ ОТМЕНИЛ ЗАКАЗ
60577961,ответил,КЛИЕНТ ВЫБРАЛ ДРУГОГО СПЕЦИАЛИСТА
60577152,посмотрел,КЛИЕНТ ВЫБРАЛ ДРУГОГО СПЕЦИАЛИСТА
60576602,не читал,КЛИЕНТ ОТМЕНИЛ ЗАКАЗ
60576120,посмотрел,КЛИЕНТ ОТМЕНИЛ ЗАКАЗ
60575412,посмотрел,КЛИЕНТ ОТМЕНИЛ ЗАКАЗ
60570719,посмотрел,КЛИЕНТ ОТМЕНИЛ ЗАКАЗ
60568735,посмотрел,ВЫ НАПИСАЛИ КЛИЕНТУ
60568291,посмотрел,ВЫ НАПИСАЛИ КЛИЕНТУ
60565409,посмотрел,КЛИЕНТ ВЫБРАЛ ДРУГОГО СПЕЦИАЛИСТА
60564496,посмотрел,КЛИЕНТ ВЫБРАЛ ДРУГОГО СПЕЦИАЛИСТА
60543400,посмотрел,КЛИЕНТ ВЫБРАЛ ДРУГОГО СПЕЦИАЛИСТА
60542646,посмотрел,КЛИЕНТ ВЫБРАЛ ДРУГОГО СПЕЦИАЛИСТА
60541109,посмотрел,КЛИЕНТ ВЫБРАЛ ДРУГОГО СПЕЦИАЛИСТА
60540889,посмотрел,КЛИЕНТ ВЫБРАЛ ДРУГОГО СПЕЦИАЛИСТА
60539831,посмотрел,ВЫ НАПИСАЛИ КЛИЕНТУ
60534861,посмотрел,КЛИЕНТ ВЫБРАЛ ДРУГОГО СПЕЦИАЛИСТА
60531627,не читал,КЛИЕНТ ОТМЕНИЛ ЗАКАЗ
60529706,не читал,ВЫ НАПИСАЛИ КЛИЕНТУ
60530959,посмотрел,ВЫ НАПИСАЛИ КЛИЕНТУ
60530808,посмотрел,КЛИЕНТ ВЫБРАЛ ДРУГОГО СПЕЦИАЛИСТА
60530268,посмотрел,КЛИЕНТ ОТМЕНИЛ ЗАКАЗ
60523298,посмотрел,КЛИЕНТ ВЫБРАЛ ДРУГОГО СПЕЦИАЛИСТА
60465325,ответил,ВЫ НАПИСАЛИ КЛИЕНТУ
60519091,посмотрел,КЛИЕНТ ВЫБРАЛ ДРУГОГО СПЕЦИАЛИСТА
60517033,посмотрел,КЛИЕНТ ВЫБРАЛ ДРУГОГО СПЕЦИАЛИСТА
60510953,не читал,КЛИЕНТ ВЫБРАЛ ДРУГОГО СПЕЦИАЛИСТА
60507863,посмотрел,ВЫ НАПИСАЛИ КЛИЕНТУ
60501417,посмотрел,КЛИЕНТ ОТМЕНИЛ ЗАКАЗ
60501330,посмотрел,КЛИЕНТ ВЫБРАЛ ДРУГОГО СПЕЦИАЛИСТА
60499734,не читал,КЛИЕНТ ВЫБРАЛ ДРУГОГО СПЕЦИАЛИСТА
60496885,посмотрел,КЛИЕНТ ВЫБРАЛ ДРУГОГО СПЕЦИАЛИСТА
60363354,посмотрел,КЛИЕНТ ВЫБРАЛ ДРУГОГО СПЕЦИАЛИСТА
60485510,посмотрел,ВЫ НАПИСАЛИ КЛИЕНТУ
60494791,посмотрел,ВЫ НАПИСАЛИ КЛИЕНТУ
60494032,не читал,КЛИЕНТ ВЫБРАЛ ДРУГОГО СПЕЦИАЛИСТА
60493698,не читал,КЛИЕНТ ВЫБРАЛ ДРУГОГО СПЕЦИАЛИСТА
60493349,посмотрел,КЛИЕНТ ОТМЕНИЛ ЗАКАЗ
60491722,посмотрел,КЛИЕНТ ОТМЕНИЛ ЗАКАЗ
60489384,посмотрел,КЛИЕНТ ВЫБРАЛ ДРУГОГО СПЕЦИАЛИСТА
60488726,посмотрел,КЛИЕНТ ВЫБРАЛ ДРУГОГО СПЕЦИАЛИСТА
60488495,посмотрел,КЛИЕНТ ОТМЕНИЛ ЗАКАЗ
59474532,посмотрел,КЛИЕНТ ВЫБРАЛ ДРУГОГО СПЕЦИАЛИСТА
60487276,посмотрел,ВЫ НАПИСАЛИ КЛИЕНТУ
60486007,посмотрел,ВЫ НАПИСАЛИ КЛИЕНТУ
60485477,посмотрел,ВЫ НАПИСАЛИ КЛИЕНТУ
60485193,посмотрел,ВЫ НАПИСАЛИ КЛИЕНТУ
60481128,не читал,КЛИЕНТ ВЫБРАЛ ДРУГОГО СПЕЦИАЛИСТА
60480997,не читал,ВЫ НАПИСАЛИ КЛИЕНТУ
60424560,посмотрел,ВЫ НАПИСАЛИ КЛИЕНТУ
60479732,посмотрел,ВЫ НАПИСАЛИ КЛИЕНТУ
60478460,посмотрел,КЛИЕНТ ВЫБРАЛ ДРУГОГО СПЕЦИАЛИСТА
60477447,посмотрел,КЛИЕНТ ВЫБРАЛ ДРУГОГО СПЕЦИАЛИСТА
60471805,посмотрел,КЛИЕНТ ВЫБРАЛ ДРУГОГО СПЕЦИАЛИСТА
60470485,посмотрел,КЛИЕНТ ВЫБРАЛ ДРУГОГО СПЕЦИАЛИСТА
60470112,посмотрел,КЛИЕНТ ВЫБРАЛ ДРУГОГО СПЕЦИАЛИСТА
60456067,посмотрел,КЛИЕНТ ВЫБРАЛ ДРУГОГО СПЕЦИАЛИСТА
60454655,ответил,ВЫ НАПИСАЛИ КЛИЕНТУ
60453240,не читал,КЛИЕНТ ОТМЕНИЛ ЗАКАЗ
60451988,посмотрел,КЛИЕНТ ОТМЕНИЛ ЗАКАЗ
60451931,посмотрел,КЛИЕНТ ОТМЕНИЛ ЗАКАЗ
60448327,посмотрел,КЛИЕНТ ВЫБРАЛ ДРУГОГО СПЕЦИАЛИСТА
60447294,не читал,КЛИЕНТ ВЫБРАЛ ДРУГОГО СПЕЦИАЛИСТА
60446433,посмотрел,КЛИЕНТ ВЫБРАЛ ДРУГОГО СПЕЦИАЛИСТА
60440420,не читал,КЛИЕНТ ВЫБРАЛ ДРУГОГО СПЕЦИАЛИСТА
60439695,посмотрел,КЛИЕНТ ОТМЕНИЛ ЗАКАЗ
60439642,посмотрел,КЛИЕНТ ВЫБРАЛ ДРУГОГО СПЕЦИАЛИСТА
60437331,посмотрел,КЛИЕНТ ОТМЕНИЛ ЗАКАЗ
60437038,посмотрел,КЛИЕНТ ОТМЕНИЛ ЗАКАЗ
60437020,посмотрел,КЛИЕНТ ОТМЕНИЛ ЗАКАЗ
60432635,посмотрел,КЛИЕНТ ВЫБРАЛ ДРУГОГО СПЕЦИАЛИСТА
60428663,посмотрел,КЛИЕНТ ОТМЕНИЛ ЗАКАЗ
60413048,посмотрел,КЛИЕНТ ОТМЕНИЛ ЗАКАЗ
60412760,посмотрел,КЛИЕНТ ВЫБРАЛ ДРУГОГО СПЕЦИАЛИСТА
60381844,посмотрел,КЛИЕНТ ОТМЕНИЛ ЗАКАЗ
60381413,не читал,КЛИЕНТ ОТМЕНИЛ ЗАКАЗ
60290932,посмотрел,КЛИЕНТ ОТМЕНИЛ ЗАКАЗ
60373870,посмотрел,КЛИЕНТ ВЫБРАЛ ДРУГОГО СПЕЦИАЛИСТА
60227889,посмотрел,ВЫ НАПИСАЛИ КЛИЕНТУ
60370130,посмотрел,КЛИЕНТ ВЫБРАЛ ДРУГОГО СПЕЦИАЛИСТА
60368235,посмотрел,КЛИЕНТ ОТМЕНИЛ ЗАКАЗ
